"ID","Study.ID","Reference","Grouping","Victim","Perpetrator","Route.Victim","Route.Perpetrator","Mechanism","Compartment","AUCR.Avg","AUCR.AvgType","AUCR.Var","AUCR.VarType","CmaxR.Avg","CmaxR.AvgType","CmaxR.Var","CmaxR.VarType","t_placebo_0","t_placebo_end","t_treatment_0","t_treatment_end","t.Unit","R.Dose.correction.factor","Comment","Dose","Dose.free.API","Dose.Unit","Route","Times.of.Administration","Times.Unit","Description","Comment.Regimen","Administered.form","Formulation.type","Infusion.duration.[min]","Water.volume.ingested.for.drug.intake.[mL]","Comment.on.administration/formulation","Fasted/Fed.state","Duration.of.fasting.before.drug.administration.[h]","Duration.of.fasting.after.drug.administration.[h]","Comment.on.food.intake"
177,"Gorski 2003","https://www.ncbi.nlm.nih.gov/pubmed/12966371","po with Perpetrator (Rifampicin)","Midazolam","Rifampicin","PO","PO","Induction","Whole Blood",0.103351955307263,"Approx. Avg",NA,NA,0.100558659217877,"arith. Mean",NA,NA,"0","inf","132","inf","h",1.5,"Cave! Different dose treatment vs control.","600",NA,"mg","PO","S0-T24-R7","h","MD OD (7 days)","MD",NA,"pill, INN, rifampicin",NA,NA,NA,NA,NA,NA,NA
179,"Gorski 2003","https://www.ncbi.nlm.nih.gov/pubmed/12966371","iv with Perpetrator (Rifampicin)","Midazolam","Rifampicin","IV","PO","Induction","Whole Blood",0.448979591836735,"Approx. Avg",NA,NA,NA,NA,NA,NA,"0","inf","132","inf","h",1,NA,"600",NA,"mg","PO","S0-T24-R7","h","MD OD (7 days)","MD",NA,"pill, INN, rifampicin",NA,NA,NA,NA,NA,NA,NA
191,"Greiner 1999","https://www.ncbi.nlm.nih.gov/pubmed/10411543","po with Perpetrator (Rifampicin)","Digoxin","Rifampicin","PO","PO","Induction","Plasma",0.697080291970803,"Approx. Avg",NA,NA,0.481481481481481,"Approx. Avg",NA,NA,"0","144","240","384","h",1,NA,"600",NA,"mg","PO","S0-T24-R16","h","MD OD (16 days)","MD","rifampin","RIFA Grünenthal GmbH",NA,NA,NA,NA,NA,NA,NA
193,"Greiner 1999","https://www.ncbi.nlm.nih.gov/pubmed/10411543","iv with Perpetrator (Rifampicin)","Digoxin","Rifampicin","IV","PO","Induction","Plasma",0.853379152348225,"Approx. Avg",NA,NA,0.834008097165992,"Approx. Avg",NA,NA,"0","144","240","384","h",1,NA,"600",NA,"mg","PO","S0-T24-R16","h","MD OD (16 days)","MD","rifampin","RIFA Grünenthal GmbH",NA,NA,NA,NA,NA,NA,NA
215,"Gurley 2006","https://www.ncbi.nlm.nih.gov/pubmed/16432272","with Perpetrator (Rifampicin)","Midazolam","Rifampicin","PO","PO","Induction","Plasma",0.057160804,"Approx. Avg",NA,NA,0.1209150326797,"arith. Mean",NA,NA,"0","inf","146","inf","h",1,NA,"300",NA,"mg","PO","S0-T12-R14","h","MD BID (7 days)","MD","Rifampin","300mg, Rifadin®, Aventis Pharmaceuticals",NA,NA,"twice daily",NA,NA,NA,NA
217,"Gurley 2006","https://www.ncbi.nlm.nih.gov/pubmed/16432272","with Perpetrator (Clarithomycin)","Midazolam","Clarithromycin","PO","PO","Mechanism_based_Inactivation","Plasma",8.39285714,"Approx. Avg",NA,NA,3.795597484,"arith. Mean",NA,NA,"0","inf","146","inf","h",NA,NA,"500",NA,"mg","PO","(S-0,T-12,R-14)","h","MD BID (7 days)","MD","clarithromycin","500 mg, Biaxin®, Abbott Laboratories",NA,NA,"twice daily",NA,NA,NA,NA
221,"Gurley 2008a","https://www.ncbi.nlm.nih.gov/pubmed/17495878","with Perpetrator (Rifampicin)","Midazolam","Rifampicin","PO","PO","Induction","Plasma",0.060317460317,"Approx. Avg",NA,NA,0.107623318,"arith. Mean",NA,NA,"0","inf","146","inf","h",1,NA,"300",NA,"mg","PO","S0-T12-R14","h","MD BID (7 days)","MD","Rifampin","300mg, Rifadin®, Aventis Pharmaceuticals",NA,NA,"twice daily",NA,NA,NA,NA
223,"Gurley 2008a","https://www.ncbi.nlm.nih.gov/pubmed/17495878","with Perpetrator (Clarithomycin)","Midazolam","Clarithromycin","PO","PO","Mechanism_based_Inactivation","Plasma",5.4833984,"Approx. Avg",NA,NA,2.1743295019,"arith. Mean",NA,NA,"0","inf","146","inf","h",NA,NA,"500",NA,"mg","PO","(S-0,T-12,R-14)","h","MD BID (7 days)","MD","clarithromycin","500 mg, Biaxin®, Abbott Laboratories",NA,NA,"twice daily",NA,NA,NA,NA
227,"Gurley 2008b","https://www.ncbi.nlm.nih.gov/pubmed/18214850","with Perpetrator (Rifampicin)","Digoxin","Rifampicin","PO","PO","Induction","Serum",0.753086419753086,"Approx. Avg",NA,NA,0.615384615384615,"Approx. Avg",NA,NA,"0","24","146","170","h",1,NA,"300",NA,"mg","PO","S0-T12-R12","h","MD BID (7 days)","MD","Rifampin","Rifadin®, Aventis Pharmaceuticals",NA,NA,"twice daily",NA,NA,NA,NA
229,"Gurley 2008b","https://www.ncbi.nlm.nih.gov/pubmed/18214850","with Perpetrator (Clarithomycin)","Digoxin","Clarithromycin","PO","PO","Mechanism_based_Inactivation","Serum",1.46575342465753,"Approx. Avg",NA,NA,1.75,"Approx. Avg",NA,NA,"0","24","146","170","h",1,NA,"500",NA,"mg","PO","S0-T12-R14","h","MD BID (7 days)","MD","clarithromycin","Biaxin®, Abbott Laboratories",NA,NA,"twice daily",NA,NA,NA,NA
271,"Jalava 1997","https://www.ncbi.nlm.nih.gov/pubmed/9421099","po with Perpetrator (Itraconazole)","Digoxin","Itraconazole","PO","PO","Reversible_Inhibition","Serum",1.68,"arith. Mean",NA,NA,1.34,"arith. Mean",NA,NA,"0","inf","49","inf","h",1,NA,"200",NA,"mg","PO","0-24-48-72-96","h","MD OD (5 days)",NA,NA,"Sporanox 100-mg caps, Janssen Pharmaceuticals, Beerse, Belgium",NA,120,NA,NA,NA,NA,NA
276,"Kharasch 1997","https://www.ncbi.nlm.nih.gov/pubmed/9232132","with Perpetrator (Rifampicin)","Midazolam","Rifampicin","IV","PO","Induction","Plasma",0.379310344827586,"Approx. Avg",NA,NA,NA,NA,NA,NA,"0","inf","120","inf","h",1,"AUCR estimated from CL ratio","600",NA,"mg","PO","0-24-48-72-96","h","MD OD (5 days)","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA
278,"Kharasch 1997","https://www.ncbi.nlm.nih.gov/pubmed/9232132","with Perpetrator (Rifampicin)","Alfentanil","Rifampicin","IV","PO","Induction","Plasma",0.363013698630137,"Approx. Avg",NA,NA,NA,NA,NA,NA,"0","inf","120.5","inf","h",1,"AUCR estimated from CL ratio","600",NA,"mg","PO","0-24-48-72-96","h","MD OD (5 days)","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA
280,"Kharasch 2004","https://www.ncbi.nlm.nih.gov/pubmed/15536460","iv with Perpetrator (Rifampicin)","Midazolam","Rifampicin","IV","PO","Induction","Plasma",0.52112676056338,"Approx. Avg",NA,NA,1.00996015936255,"Approx. CmaxR",NA,NA,"0","inf","104","128","h",1,NA,"600",NA,"mg","PO","S0-T24-R6","h","MD OD (6 days)","MD OD",NA,NA,NA,NA,NA,NA,NA,NA,NA
283,"Kharasch 2004","https://www.ncbi.nlm.nih.gov/pubmed/15536460","iv with Perpetrator (Rifampicin)","Alfentanil","Rifampicin","IV","PO","Induction","Plasma",0.375,"Approx. Avg",NA,NA,1.00332594235033,"Approx. CmaxR",NA,NA,"0","inf","105","129","h",1,NA,"600",NA,"mg","PO","S0-T24-R6","h","MD OD (6 days)","MD OD",NA,NA,NA,NA,NA,NA,NA,NA,NA
286,"Kharasch 2004","https://www.ncbi.nlm.nih.gov/pubmed/15536460","po #1 with Perpetrator (Rifampicin)","Midazolam","Rifampicin","PO","PO","Induction","Plasma",0.0526315789473684,"Approx. Avg",NA,NA,0.10989010989011,"Approx. CmaxR",NA,NA,"0","inf","128","inf","h",1,NA,"600",NA,"mg","PO","S0-T24-R6","h","MD OD (6 days)","MD OD",NA,NA,NA,NA,NA,NA,NA,NA,NA
288,"Kharasch 2004","https://www.ncbi.nlm.nih.gov/pubmed/15536460","po #1 (60 µg/kg) with Perpetrator (Rifampicin)","Alfentanil","Rifampicin","PO","PO","Induction","Plasma",0.045631067961165,"Approx. Avg",NA,NA,0.111111111111111,"Approx. CmaxR",NA,NA,"0","inf","129","inf","h",1,NA,"600",NA,"mg","PO","S0-T24-R6","h","MD OD (6 days)","MD OD",NA,NA,NA,NA,NA,NA,NA,NA,NA
294,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","iv with Perpetrator (Rifampicin @ 5 mg)","Midazolam","Rifampicin","IV","PO","Induction","Plasma",0.84,"geo. Mean","0.13","+/- 90%CI",1.03225806,"arith. Mean",NA,NA,"0","inf","108","132","h",1,NA,"5",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
295,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","iv with Perpetrator (Rifampicin @ 10 mg)","Midazolam","Rifampicin","IV","PO","Induction","Plasma",0.77,"geo. Mean","0.12","+/- 90%CI",1.064516129,"arith. Mean",NA,NA,"0","inf","108","132","h",1,NA,"10",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
296,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","iv with Perpetrator (Rifampicin @ 25 mg)","Midazolam","Rifampicin","IV","PO","Induction","Plasma",0.63,"geo. Mean","0.11","+/- 90%CI",0.838709677,"arith. Mean",NA,NA,"0","inf","108","132","h",1,NA,"25",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
297,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","iv with Perpetrator (Rifampicin @ 75 mg)","Midazolam","Rifampicin","IV","PO","Induction","Plasma",0.6,"geo. Mean","0.12","+/- 90%CI",1.322580645,"arith. Mean",NA,NA,"0","inf","108","132","h",1,NA,"75",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
299,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","iv with Perpetrator (Rifampicin @ 5 mg)","Alfentanil","Rifampicin","IV","PO","Induction","Plasma",0.83,"geo. Mean","0.16","+/- 90%CI",1.039215686,"arith. Mean",NA,NA,"0","inf","109","133","h",1,NA,"5",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
300,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","iv with Perpetrator (Rifampicin @ 10 mg)","Alfentanil","Rifampicin","IV","PO","Induction","Plasma",0.75,"geo. Mean","0.15","+/- 90%CI",1.0490196078,"arith. Mean",NA,NA,"0","inf","109","133","h",1,NA,"10",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
301,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","iv with Perpetrator (Rifampicin @ 25 mg)","Alfentanil","Rifampicin","IV","PO","Induction","Plasma",0.59,"geo. Mean","0.12","+/- 90%CI",1,"arith. Mean",NA,NA,"0","inf","109","133","h",1,NA,"25",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
302,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","iv with Perpetrator (Rifampicin @ 75 mg)","Alfentanil","Rifampicin","IV","PO","Induction","Plasma",0.51,"geo. Mean","0.12","+/- 90%CI",1.0294117647,"arith. Mean",NA,NA,"0","inf","109","133","h",1,NA,"75",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
304,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","po with Perpetrator (Rifampicin @ 5 mg)","Midazolam","Rifampicin","PO","PO","Induction","Plasma",0.8,"geo. Mean","0.19","+/- 90%CI",0.8,"arith. Mean",NA,NA,"0","inf","132","inf","h",1,NA,"5",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
305,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","po with Perpetrator (Rifampicin @ 10 mg)","Midazolam","Rifampicin","PO","PO","Induction","Plasma",0.68,"geo. Mean","0.17","+/- 90%CI",0.93333333,"arith. Mean",NA,NA,"0","inf","132","inf","h",1,NA,"10",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
306,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","po with Perpetrator (Rifampicin @ 25 mg)","Midazolam","Rifampicin","PO","PO","Induction","Plasma",0.4,"geo. Mean","0.1","+/- 90%CI",0.5066666666,"arith. Mean",NA,NA,"0","inf","132","inf","h",1,NA,"25",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
307,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","po with Perpetrator (Rifampicin @ 75 mg)","Midazolam","Rifampicin","PO","PO","Induction","Plasma",0.25,"geo. Mean","0.09","+/- 90%CI",0.34,"arith. Mean",NA,NA,"0","inf","132","inf","h",1,NA,"75",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
309,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","po with Perpetrator (Rifampicin @ 5 mg)","Alfentanil","Rifampicin","PO","PO","Induction","Plasma",0.74,"geo. Mean","0.16","+/- 90%CI",0.862745098,"arith. Mean",NA,NA,"0","inf","133","inf","h",1,NA,"5",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
310,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","po with Perpetrator (Rifampicin @ 10 mg)","Alfentanil","Rifampicin","PO","PO","Induction","Plasma",0.61,"geo. Mean","0.23","+/- 90%CI",0.862745098,"arith. Mean",NA,NA,"0","inf","133","inf","h",1,NA,"10",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
311,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","po with Perpetrator (Rifampicin @ 25 mg)","Alfentanil","Rifampicin","PO","PO","Induction","Plasma",0.3,"geo. Mean","0.1","+/- 90%CI",0.4901960784,"arith. Mean",NA,NA,"0","inf","133","inf","h",1,NA,"25",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
312,"Kharasch 2011","https://www.ncbi.nlm.nih.gov/pubmed/21562488","po with Perpetrator (Rifampicin @ 75 mg)","Alfentanil","Rifampicin","PO","PO","Induction","Plasma",0.13,"geo. Mean","0.06","+/- 90%CI",0.254901960784,"arith. Mean",NA,NA,"0","inf","133","inf","h",1,NA,"75",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD","rifampin","capsules",NA,NA,"at bedtime",NA,NA,NA,NA
314,"Kirby 2012","https://www.ncbi.nlm.nih.gov/pubmed/22190694","Study 1 - Staggered Administration with RIF","Digoxin","Rifampicin","PO","PO","Induction","Plasma",0.943396226415094,"geo. Mean",NA,NA,NA,NA,NA,NA,"0","inf","324","inf","h",1,"1/CLR ratio","600",NA,"mg","PO","S0-T24-R14","h","MD OD (14 days)","QD","rifampin","300-mg capsules Novartis",NA,NA,NA,NA,NA,NA,NA
316,"Kirby 2012","https://www.ncbi.nlm.nih.gov/pubmed/22190694","Study 2 - Simultaneous Administration with RIF","Digoxin","Rifampicin","PO","PO","Induction","Plasma",1.14942528735632,"geo. Mean",NA,NA,NA,NA,NA,NA,"0","inf","360","inf","h",1,"1/CLR ratio","600",NA,"mg","PO","S0-T24-R14","h","MD OD (14 days)","QD","rifampin","300-mg capsules Novartis",NA,NA,NA,NA,NA,NA,NA
318,"Kivistö 1997","https://www.ncbi.nlm.nih.gov/pubmed/9333111","with Perpetrator (Erythromycin)","Buspirone","Erythromycin","PO","PO","Mechanism_based_Inactivation","Plasma",5.9,NA,NA,NA,5,NA,NA,NA,"0","inf","79","inf","h",NA,NA,"500",NA,"mg","PO","0-6-14-24-30-38-48-54-62-72-78","h","MD TID (3 days)","MD","erythromycin base","Ery-Max 250 mg enterocapsule",NA,150,NA,"Fasted","2","3","wrt. administration of buspirone"
320,"Kivistö 1997","https://www.ncbi.nlm.nih.gov/pubmed/9333111","with Perpetrator (Itraconazole)","Buspirone","Itraconazole","PO","PO","Reversible_Inhibition","Plasma",19.2,NA,NA,NA,13.4,NA,NA,NA,"0","inf","79","inf","h",NA,NA,"100",NA,"mg","PO","0-6-24-30-48-54-72-78","h","MD BID (3 days)","MD",NA,"Sporanox",NA,150,NA,"Fasted","2","3","wrt. administration of buspirone"
327,"Lamberg 1998a","https://www.ncbi.nlm.nih.gov/pubmed/9923581","with Perpetrator (Fluvoxamine)","Buspirone","Fluvoxamine","PO","PO","Reversible_Inhibition","Plasma",2.35,NA,"0.75-4.69","Range",2.01,NA,"0.69-3.96","Range","0","inf","114","inf","h",NA,NA,"100",NA,"mg","PO","0-24-48-72-96","h","MD OD (5 days)","SD",NA,"Fevarin",NA,150,NA,"Fasted","2","3","wrt. administration of buspirone"
329,"Lamberg 1998b","https://www.ncbi.nlm.nih.gov/pubmed/9578186","with Perpetrator (Rifampicin)","Buspirone","Rifampicin","PO","PO","Induction","Plasma",0.104,NA,"0.063-0.145","95% CI",0.163,NA,"0.101-0.226","95% CI","0","inf","113","inf","h",1,NA,"30",NA,"mg","PO","0-24-48-72-96","h","MD OD (5 days)","SD",NA,"Rimapen Orion",NA,150,NA,"Fasted","2","3","wrt. administration of buspirone"
331,"Lamberg 1998c","https://www.ncbi.nlm.nih.gov/pubmed/9663178","with Perpetrator (Verapamil)","Buspirone","Verapamil","PO","PO","Mechanism_based_Inactivation","Plasma",3.4,NA,NA,NA,3.4,NA,NA,NA,"0","inf","30","inf","h",NA,NA,"80",NA,"mg","PO","0-5-12-24-29","h",NA,"SD",NA,"Verapamil tablet Orion",NA,150,NA,"Fasted","2","3","wrt. administration of buspirone"
333,"Lamberg 1998c","https://www.ncbi.nlm.nih.gov/pubmed/9663178","with Perpetrator (Diltiazem)","Buspirone","Diltiazem","PO","PO","Mechanism_based_Inactivation","Plasma",5.5,NA,NA,NA,4.1,NA,NA,NA,"0","inf","30","inf","h",NA,NA,"60",NA,"mg","PO","0-5-12-24-29","h",NA,"SD",NA,"Diltiazem tablet Orion",NA,150,NA,"Fasted","2","3","wrt. administration of buspirone"
337,"Larsen 2007","https://www.ncbi.nlm.nih.gov/pubmed/17365992","with Perpetrator (Rifampicin)","Digoxin","Rifampicin","PO","PO","Induction","Serum",0.81734693877551,"Approx. Avg",NA,NA,NA,NA,NA,NA,"0","24","144","168","h",1,NA,"600",NA,"mg","PO","0-24-48-72-96-120","h","MD OD (6 days)","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA
